Epoch: 6 70/195, Time  0.352 ( 3.849), Data  0.000 ( 3.491), Loss 7.2932e+00 (7.2927e+00), Acc@1   7.03 (  8.84), Acc@5  17.97 ( 19.31)
Epoch: 6 80/195, Time  0.355 ( 3.419), Data  0.000 ( 3.060), Loss 7.2278e+00 (7.2876e+00), Acc@1  12.89 (  9.02), Acc@5  23.44 ( 19.42)
Epoch: 6 90/195, Time  0.397 ( 3.086), Data  0.000 ( 2.724), Loss 7.2775e+00 (7.2808e+00), Acc@1  10.16 (  9.07), Acc@5  20.70 ( 19.58)
Epoch: 6100/195, Time  0.484 ( 2.821), Data  0.002 ( 2.454), Loss 7.1460e+00 (7.2750e+00), Acc@1   8.98 (  9.13), Acc@5  21.48 ( 19.65)
Epoch: 6110/195, Time  0.390 ( 2.605), Data  0.000 ( 2.233), Loss 7.2975e+00 (7.2654e+00), Acc@1  15.62 (  9.27), Acc@5  26.95 ( 19.88)
Epoch: 6120/195, Time  0.362 ( 2.423), Data  0.001 ( 2.049), Loss 7.3358e+00 (7.2603e+00), Acc@1  10.94 (  9.38), Acc@5  19.14 ( 20.10)
Epoch: 6130/195, Time  0.388 ( 2.270), Data  0.001 ( 1.893), Loss 7.1674e+00 (7.2583e+00), Acc@1  11.33 (  9.45), Acc@5  22.66 ( 20.16)
Epoch: 6140/195, Time  0.369 ( 2.137), Data  0.000 ( 1.758), Loss 7.1360e+00 (7.2455e+00), Acc@1   8.59 (  9.54), Acc@5  21.88 ( 20.38)
Epoch: 6150/195, Time  0.353 ( 2.024), Data  0.000 ( 1.647), Loss 7.1091e+00 (7.2395e+00), Acc@1  10.55 (  9.64), Acc@5  21.09 ( 20.55)
Epoch: 6160/195, Time  0.353 ( 1.922), Data  0.001 ( 1.546), Loss 7.3007e+00 (7.2314e+00), Acc@1  10.94 (  9.77), Acc@5  19.92 ( 20.72)
Epoch: 6170/195, Time  0.345 ( 1.830), Data  0.000 ( 1.456), Loss 7.1030e+00 (7.2268e+00), Acc@1  10.16 (  9.87), Acc@5  25.78 ( 20.91)
Epoch: 6180/195, Time  0.353 ( 1.750), Data  0.001 ( 1.377), Loss 7.1503e+00 (7.2215e+00), Acc@1  11.33 (  9.99), Acc@5  22.66 ( 21.03)
Epoch: 6190/195, Time  0.355 ( 1.677), Data  0.000 ( 1.305), Loss 7.2922e+00 (7.2181e+00), Acc@1   7.42 ( 10.00), Acc@5  19.14 ( 21.11)
Epoch: 7  0/195, Time 222.443 (222.443), Data 222.072 (222.072), Loss 7.0849e+00 (7.0849e+00), Acc@1  12.89 ( 12.89), Acc@5  26.17 ( 26.17)
Epoch: 7 10/195, Time  0.464 (20.624), Data  0.000 (20.246), Loss 6.9184e+00 (7.1051e+00), Acc@1  10.55 ( 11.83), Acc@5  25.78 ( 23.51)
Epoch: 7 20/195, Time  0.365 (11.088), Data  0.000 (10.638), Loss 7.0900e+00 (7.0906e+00), Acc@1  10.55 ( 11.92), Acc@5  20.31 ( 23.31)
Epoch: 7 30/195, Time  0.379 ( 7.628), Data  0.000 ( 7.206), Loss 7.1952e+00 (7.0972e+00), Acc@1  10.16 ( 11.74), Acc@5  22.66 ( 23.31)
Epoch: 7 40/195, Time  0.359 ( 5.884), Data  0.000 ( 5.477), Loss 6.9611e+00 (7.1145e+00), Acc@1  12.11 ( 11.59), Acc@5  28.52 ( 23.19)
Epoch: 7 50/195, Time  0.362 ( 4.803), Data  0.000 ( 4.403), Loss 6.8014e+00 (7.1057e+00), Acc@1  14.84 ( 11.72), Acc@5  26.56 ( 23.41)
Epoch: 7 60/195, Time  0.378 ( 4.077), Data  0.001 ( 3.681), Loss 7.0438e+00 (7.1065e+00), Acc@1  11.33 ( 11.64), Acc@5  25.00 ( 23.42)
Epoch: 7 70/195, Time  0.372 ( 3.555), Data  0.000 ( 3.163), Loss 7.2539e+00 (7.1071e+00), Acc@1   9.77 ( 11.64), Acc@5  19.53 ( 23.48)
Epoch: 7 80/195, Time  0.389 ( 3.166), Data  0.001 ( 2.773), Loss 6.9821e+00 (7.0929e+00), Acc@1  13.28 ( 11.86), Acc@5  25.00 ( 23.79)
